date,series,issue_hour,mae_kw,rmse_kw
2025-10-26,pv_raw,6,148.54176666666675,298.13650061823904
2025-10-26,pv_corrected,6,118.49249999999996,229.40466934023294
2025-10-26,pv_raw,12,58.0188041666666,122.76103535856926
2025-10-26,pv_corrected,12,34.58149583333336,69.07611780908495
2025-10-26,pv_raw,18,155.10497500000002,317.1751084540671
2025-10-26,pv_corrected,18,175.26852500000004,340.68222238841213
2025-10-27,load_day_ahead,0,108.30103252412772,135.72774968745253
2025-10-27,pv_raw,0,111.06569166666674,217.18426506534152
2025-10-27,pv_corrected,0,153.50588750000003,317.6573035345435
2025-10-27,pv_raw,6,132.40675833333327,261.84135186718174
2025-10-27,pv_corrected,6,166.58488749999984,336.14588808742235
2025-10-27,pv_raw,12,88.48518750000001,256.1359537068587
2025-10-27,pv_corrected,12,65.71513749999997,181.34935982508426
2025-10-27,pv_raw,18,208.2985749999999,387.6803634816991
2025-10-27,pv_corrected,18,208.95481249999992,387.8317458363962
2025-10-28,load_day_ahead,0,108.27109397993799,135.74942785494287
2025-10-28,pv_raw,0,232.10864999999998,432.67980556602225
2025-10-28,pv_corrected,0,251.48399166666664,474.51546792730227
2025-10-28,pv_raw,6,72.0785500000001,141.8601634251757
2025-10-28,pv_corrected,6,55.82983750000017,115.07100887221972
2025-10-28,pv_raw,12,134.35899583333335,306.07278661227855
2025-10-28,pv_corrected,12,114.45681250000001,275.2012047948593
2025-10-28,pv_raw,18,409.47232916666667,719.0018216475635
2025-10-28,pv_corrected,18,406.39475416666664,724.3485062569857
2025-10-29,load_day_ahead,0,108.48397237341653,133.4112169051041
2025-10-29,pv_raw,0,101.56764166666669,204.98002771914562
2025-10-29,pv_corrected,0,94.76347916666673,197.19578884308223
2025-10-29,pv_raw,6,46.12604583333333,90.51649545872608
2025-10-29,pv_corrected,6,58.94044166666671,120.41037383941082
2025-10-29,pv_raw,12,198.9511666666667,440.95410398527775
2025-10-29,pv_corrected,12,222.08060000000003,493.31976838360384
2025-10-29,pv_raw,18,329.18857916666667,618.645773803931
2025-10-29,pv_corrected,18,318.0592249999999,602.0249278618008
2025-10-30,load_day_ahead,0,125.47521748188849,154.96256571191182
2025-10-30,pv_raw,0,167.53182083333337,348.6294589452048
2025-10-30,pv_corrected,0,174.78238750000006,377.35317600724267
2025-10-30,pv_raw,6,88.70001666666666,200.9982051488043
2025-10-30,pv_corrected,6,83.26889583333333,169.10244835260002
2025-10-30,pv_raw,12,206.7607458333333,490.74869225639355
2025-10-30,pv_corrected,12,196.26627916666666,444.3120495584462
2025-10-30,pv_raw,18,312.7437958333333,563.7677154404089
2025-10-30,pv_corrected,18,326.01537916666666,614.1240434327481
2025-10-31,load_day_ahead,0,114.75502156167224,143.83330099591166
2025-10-31,pv_raw,0,159.88250416666665,297.96303591348857
2025-10-31,pv_corrected,0,167.88340416666662,310.0675058502952
2025-10-31,pv_raw,6,54.83569999999998,108.69761765698915
2025-10-31,pv_corrected,6,72.75573750000005,139.19018774478891
2025-10-31,pv_raw,12,82.25113333333333,194.5715381886441
2025-10-31,pv_corrected,12,93.78594999999997,252.08410184379272
2025-10-31,pv_raw,18,508.55889999999994,992.1424119130583
2025-10-31,pv_corrected,18,512.8223583333332,986.1546766017216
2025-11-01,load_day_ahead,0,131.87040479488624,165.36849158200624
2025-11-01,pv_raw,0,59.45286666666672,133.70987206785955
2025-11-01,pv_corrected,0,58.90630416666672,124.42364857133111
2025-11-01,pv_raw,6,81.57774999999998,166.29847592206514
2025-11-01,pv_corrected,6,94.54634999999998,182.7403634473899
2025-11-01,pv_raw,12,158.636525,362.77530470107354
2025-11-01,pv_corrected,12,151.0326583333333,325.14854465289665
2025-11-01,pv_raw,18,148.94128750000007,285.2416108125568
2025-11-01,pv_corrected,18,126.33222916666675,265.9084724758009
2025-11-02,load_day_ahead,0,119.23842658984161,150.54304296439508
2025-11-02,pv_raw,0,180.38027083333336,317.6835278513515
2025-11-02,pv_corrected,0,183.88075416666666,319.63821521537636
2025-11-02,pv_raw,6,139.63298749999993,289.9710849857756
2025-11-02,pv_corrected,6,140.84846249999995,289.0668680752423
2025-11-02,pv_raw,12,139.86357500000005,287.1816092880326
2025-11-02,pv_corrected,12,107.28997500000003,201.79024097498913
2025-11-02,pv_raw,18,122.71535000000006,228.58489641429188
2025-11-02,pv_corrected,18,138.9120291666667,249.176491287266
2025-11-03,load_day_ahead,0,108.14174872187553,141.2744568888654
2025-11-03,pv_raw,0,149.04167500000005,306.4563538587469
2025-11-03,pv_corrected,0,148.54453750000005,306.3201587505853
2025-11-03,pv_raw,6,77.2223666666667,144.92595128819235
2025-11-03,pv_corrected,6,76.1759541666667,143.4219226989854
2025-11-03,pv_raw,12,81.96208750000004,180.72114504887887
2025-11-03,pv_corrected,12,87.93747916666668,195.31833282239643
2025-11-03,pv_raw,18,146.45675000000003,255.54936812513188
2025-11-03,pv_corrected,18,122.45739583333341,196.12385520583786
2025-11-04,load_day_ahead,0,138.08240511486892,162.2728601191319
2025-11-04,pv_raw,0,83.40641250000004,160.2623467036796
2025-11-04,pv_corrected,0,106.75056666666677,214.1697221456562
2025-11-04,pv_raw,6,55.369966666666585,103.05348974711693
2025-11-04,pv_corrected,6,58.54956666666658,112.14487941101363
2025-11-04,pv_raw,12,85.89211666666665,202.86667869523933
2025-11-04,pv_corrected,12,91.92759583333331,241.01584808431414
2025-11-04,pv_raw,18,563.5606749999998,1007.1841090458672
2025-11-04,pv_corrected,18,545.6423708333332,960.9041750363497
2025-11-05,load_day_ahead,0,126.10006606981571,161.53911523517792
2025-11-05,pv_raw,0,220.60831666666664,442.5689330819946
2025-11-05,pv_corrected,0,194.23930000000004,398.521418282967
2025-11-05,pv_raw,6,121.8905125,220.74096698256332
2025-11-05,pv_corrected,6,121.9419625,221.75277880942764
2025-11-05,pv_raw,12,280.59110416666664,811.2295898618906
2025-11-05,pv_corrected,12,307.42136249999993,829.6795188445187
2025-11-05,pv_raw,18,120.99378333333333,248.21276815314283
2025-11-05,pv_corrected,18,138.22469999999993,262.5852797630022
2025-11-06,load_day_ahead,0,125.911043395597,159.74560159761037
2025-11-06,pv_raw,0,100.96725416666669,185.25788431000382
2025-11-06,pv_corrected,0,120.16577500000001,222.28688070947493
2025-11-06,pv_raw,6,57.71624166666661,130.57509267483465
2025-11-06,pv_corrected,6,58.10556249999994,139.5540481101662
2025-11-06,pv_raw,12,140.85660833333336,336.51264035940017
2025-11-06,pv_corrected,12,134.90060416666662,322.5670782285517
2025-11-06,pv_raw,18,292.8713625,611.8817021717341
2025-11-06,pv_corrected,18,248.6557666666666,534.6802584072052
2025-11-07,load_day_ahead,0,130.31049047890713,157.77993597343126
2025-11-07,pv_raw,0,54.17938333333331,92.39014670865879
2025-11-07,pv_corrected,0,78.87976666666671,160.78243666903595
2025-11-07,pv_raw,6,148.35034166666662,304.24495786407033
2025-11-07,pv_corrected,6,150.3876041666666,304.8968327913824
2025-11-07,pv_raw,12,99.08645000000001,249.0993881194295
2025-11-07,pv_corrected,12,119.09012083333334,310.1746111673318
2025-11-07,pv_raw,18,149.39085416666668,279.76508863643755
2025-11-07,pv_corrected,18,172.52262499999998,334.3741312809999
2025-11-08,load_day_ahead,0,116.53879122493026,150.01477053137916
2025-11-08,pv_raw,0,160.4595541666666,304.6635614837325
2025-11-08,pv_corrected,0,155.32624999999993,302.63449164757446
2025-11-08,pv_raw,6,67.73316666666665,133.18026628498055
2025-11-08,pv_corrected,6,65.73846666666667,132.18137299701746
2025-11-08,pv_raw,12,186.76960833333337,446.5472020645206
2025-11-08,pv_corrected,12,174.53682500000002,430.65113920684024
2025-11-08,pv_raw,18,110.71218749999998,258.97532512971907
2025-11-08,pv_corrected,18,93.85021250000007,212.63088730681363
2025-11-09,load_day_ahead,0,126.31978216382696,155.2722369816137
2025-11-09,pv_raw,0,90.75955416666663,171.85861908914035
2025-11-09,pv_corrected,0,85.40825833333331,149.83460926972387
2025-11-09,pv_raw,6,63.85192916666665,116.16816162664612
2025-11-09,pv_corrected,6,64.14117916666665,113.88337767465414
2025-11-09,pv_raw,12,91.86635416666661,202.13690743232974
2025-11-09,pv_corrected,12,110.65796666666667,239.3833899088848
2025-11-09,pv_raw,18,296.6522,546.3653576788589
2025-11-09,pv_corrected,18,254.8819208333333,495.50028295067636
2025-11-10,load_day_ahead,0,127.73291639699801,152.7498203794198
2025-11-10,pv_raw,0,140.32848333333337,272.47320450325634
2025-11-10,pv_corrected,0,133.89971666666665,260.3083346806741
2025-11-10,pv_raw,6,106.60690416666661,228.86576811285673
2025-11-10,pv_corrected,6,117.16141249999997,247.51948426158876
2025-11-10,pv_raw,12,235.7535833333333,510.91446870641903
2025-11-10,pv_corrected,12,218.0037208333333,468.7463612915051
2025-11-10,pv_raw,18,237.47057916666662,391.64725494723393
2025-11-10,pv_corrected,18,266.5432708333333,449.28469015430557
2025-11-11,load_day_ahead,0,125.17965524705424,154.0135755932994
