policy_id,a_kwh,cancellation_cost_yuan,charge_bus_kwh,date,discharge_bus_kwh,effective_issue,emergency_cost_yuan,emergency_kwh,g0_kwh,grid_unused_kwh,grid_used_kwh,increase_cost_yuan,load_kw,physical_interval_end,physical_interval_start,price_yuan_per_kwh,pv_actual_kw,pv_curtailment_kwh,retained_cost_yuan,slot_id,soc_end_kwh,soc_roundoff_adjustment_kwh,soc_start_kwh,total_cost_yuan
P3_MAIN_MEAN_ROLLOUT_061218,0,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,0,0,0,0,6756.9764999999998,2025-08-24T13:40:00,2025-08-24T13:30:00,0.86229999999999996,8335.0278999999991,263.00856666666664,0,82,10800,0,10800,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,0,0,0,0,6630.1884,2025-08-24T13:50:00,2025-08-24T13:40:00,0.90259999999999996,7941.8032999999996,218.60248333333311,0,83,10800,0,10800,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,0,0,0,0,6791.25,2025-08-24T14:00:00,2025-08-24T13:50:00,0.97540000000000004,7581.1125000000002,131.64374999999995,0,84,10800,0,10800,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,0,0,0,0,6935.0690999999997,2025-08-24T14:10:00,2025-08-24T14:00:00,1.0002,7088.2307000000001,25.526933333333318,0,85,10800,0,10800,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,0,2025-08-24,20.754166666666606,2025-08-24T12:00:00,0,0,0,0,0,0,7017.3146999999999,2025-08-24T14:20:00,2025-08-24T14:10:00,0.99780000000000002,6892.7897000000003,-0,0,86,10776.939814814816,0,10800,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,0,2025-08-24,24.709166666666761,2025-08-24T12:00:00,0,0,0,0,0,0,7074.1300000000001,2025-08-24T14:30:00,2025-08-24T14:20:00,1.0270999999999999,6925.875,-0,0,87,10749.485185185185,0,10776.939814814816,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,0,2025-08-24,77.754650000000083,2025-08-24T12:00:00,0,0,0,0,0,0,7112.6606000000002,2025-08-24T14:40:00,2025-08-24T14:30:00,1.0906,6646.1327000000001,-0,0,88,10663.091129629629,0,10749.485185185185,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,0,2025-08-24,129.89996666666661,2025-08-24T12:00:00,0,0,0,0,0,0,6998.3380999999999,2025-08-24T14:50:00,2025-08-24T14:40:00,0.93759999999999999,6218.9382999999998,-0,0,89,10518.757833333333,0,10663.091129629629,0
P3_MAIN_MEAN_ROLLOUT_061218,314.16367840565016,281.75184165550297,146.69409507231694,2025-08-24,0,2025-08-24T12:00:00,0,0,1155.9678064471889,5.6843418860808015e-14,314.1636784056501,0,6859.7299999999996,2025-08-24T15:00:00,2025-08-24T14:50:00,0.6694,5854.9125000000004,0,210.30116632474221,90,10650.782518898419,0,10518.757833333333,492.05300798024518
P3_MAIN_MEAN_ROLLOUT_061218,1198.6119222222221,0,165.79720122397904,2025-08-24,0,2025-08-24T12:00:00,0,0,1198.6119222222221,800.5804376649096,398.03148455731252,0,6995.4967999999999,2025-08-24T15:10:00,2025-08-24T15:00:00,0.66000000000000003,5602.0910999999996,0,791.0838686666666,91,10800,0,10650.782518898419,791.0838686666666
P3_MAIN_MEAN_ROLLOUT_061218,369.50433327959684,6.8891828298075977,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,388.59587500000032,72.447616612930233,297.0567166666666,0,7194.1584999999995,2025-08-24T15:20:00,2025-08-24T15:10:00,0.72170000000000001,5411.8181999999997,0,266.67127732788504,92,10800,0,10800,273.56046015769266
P3_MAIN_MEAN_ROLLOUT_061218,388.41268611111093,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,388.41268611111093,53.164352777777594,335.24833333333333,0,7208.3900000000003,2025-08-24T15:30:00,2025-08-24T15:20:00,0.73080000000000001,5196.8999999999996,0,283.85199100999989,93,10800,0,10800,283.85199100999989
