slot_id,source_sheet,source_column,source_cell,raw_time_value,raw_time_type,raw_time_number_format,time_marker_normalized
84,光伏发电实际功率,CG,CG1,0.58333333333333304,excel_numeric_time_serial,h:mm,14:00
85,光伏发电实际功率,CH,CH1,0.59027777777777701,excel_numeric_time_serial,h:mm,14:10
86,光伏发电实际功率,CI,CI1,0.59722222222222199,excel_numeric_time_serial,h:mm,14:20
87,光伏发电实际功率,CJ,CJ1,0.60416666666666596,excel_numeric_time_serial,h:mm,14:30
88,光伏发电实际功率,CK,CK1,0.61111111111111105,excel_numeric_time_serial,h:mm,14:40
89,光伏发电实际功率,CL,CL1,0.61805555555555503,excel_numeric_time_serial,h:mm,14:50
90,光伏发电实际功率,CM,CM1,0.624999999999999,excel_numeric_time_serial,h:mm,15:00
91,光伏发电实际功率,CN,CN1,0.63194444444444398,excel_numeric_time_serial,h:mm,15:10
92,光伏发电实际功率,CO,CO1,0.63888888888888795,excel_numeric_time_serial,h:mm,15:20
93,光伏发电实际功率,CP,CP1,0.64583333333333304,excel_numeric_time_serial,h:mm,15:30
94,光伏发电实际功率,CQ,CQ1,0.65277777777777701,excel_numeric_time_serial,h:mm,15:40
95,光伏发电实际功率,CR,CR1,0.65972222222222199,excel_numeric_time_serial,h:mm,15:50
96,光伏发电实际功率,CS,CS1,0.66666666666666596,excel_numeric_time_serial,h:mm,16:00
97,光伏发电实际功率,CT,CT1,0.67361111111111105,excel_numeric_time_serial,h:mm,16:10
98,光伏发电实际功率,CU,CU1,0.68055555555555503,excel_numeric_time_serial,h:mm,16:20
99,光伏发电实际功率,CV,CV1,0.687499999999999,excel_numeric_time_serial,h:mm,16:30
100,光伏发电实际功率,CW,CW1,0.69444444444444398,excel_numeric_time_serial,h:mm,16:40
101,光伏发电实际功率,CX,CX1,0.70138888888888795,excel_numeric_time_serial,h:mm,16:50
102,光伏发电实际功率,CY,CY1,0.70833333333333304,excel_numeric_time_serial,h:mm,17:00
103,光伏发电实际功率,CZ,CZ1,0.71527777777777701,excel_numeric_time_serial,h:mm,17:10
104,光伏发电实际功率,DA,DA1,0.72222222222222199,excel_numeric_time_serial,h:mm,17:20
105,光伏发电实际功率,DB,DB1,0.72916666666666596,excel_numeric_time_serial,h:mm,17:30
106,光伏发电实际功率,DC,DC1,0.73611111111111105,excel_numeric_time_serial,h:mm,17:40
107,光伏发电实际功率,DD,DD1,0.74305555555555503,excel_numeric_time_serial,h:mm,17:50
