policy,date,block_id,physical_interval,charge_bus_kwh,discharge_bus_kwh,soc_0_kwh,soc_24_kwh
MAIN,2025-02-26,3,8:00-12:00,5737.223820000001,3363.2576833333337,8780.640850148147,8925.288020111113
MAIN,2025-02-26,4,12:00-16:00,4973.8399383950655,894.7128466666669,8780.640850148147,8925.288020111113
MAIN,2025-02-26,5,16:00-20:00,252.15178000000023,5622.457636666666,8780.640850148147,8925.288020111113
MAIN,2025-02-26,6,20:00-24:00,8510.669100000001,2873.968216666666,8780.640850148147,8925.288020111113
MAIN,2025-02-27,1,0:00-4:00,1773.9484076543197,68.53305000000012,8925.288020111113,7253.133634148147
MAIN,2025-02-27,2,4:00-8:00,1366.2874782716003,5290.472526666666,8925.288020111113,7253.133634148147
MAIN,2025-02-27,3,8:00-12:00,6228.292543333333,4137.344709033332,8925.288020111113,7253.133634148147
MAIN,2025-02-27,4,12:00-16:00,5109.113711810702,543.2990666666668,8925.288020111113,7253.133634148147
MAIN,2025-02-27,5,16:00-20:00,20.17586419752873,5634.9763533333335,8925.288020111113,7253.133634148147
MAIN,2025-02-27,6,20:00-24:00,6612.9611613991765,2930.044366666667,8925.288020111113,7253.133634148147
MAIN,2025-02-28,1,0:00-4:00,585.2242833333336,70.00843333333313,7253.133634148147,6971.44552937038
MAIN,2025-02-28,2,4:00-8:00,534.8799300411558,5343.532626666667,7253.133634148147,6971.44552937038
MAIN,2025-02-28,3,8:00-12:00,8612.8429,45.653383333333295,7253.133634148147,6971.44552937038
MAIN,2025-02-28,4,12:00-16:00,947.7617416872348,0.0,7253.133634148147,6971.44552937038
MAIN,2025-02-28,5,16:00-20:00,9.506172839505274,6103.91743333333,7253.133634148147,6971.44552937038
MAIN,2025-02-28,6,20:00-24:00,6163.743773374486,2342.1140466666666,7253.133634148147,6971.44552937038
MAIN,2025-03-01,1,0:00-4:00,1017.3940200000004,81.91352666666666,6971.44552937038,9081.216363370371
MAIN,2025-03-01,2,4:00-8:00,1032.973139423859,4696.125766666667,6971.44552937038,9081.216363370371
MAIN,2025-03-01,3,8:00-12:00,6449.63225,27.87639999999999,6971.44552937038,9081.216363370371
MAIN,2025-03-01,4,12:00-16:00,1695.3766700823012,29.12596333333329,6971.44552937038,9081.216363370371
MAIN,2025-03-01,5,16:00-20:00,118.59040226337136,6122.910393333333,6971.44552937038,9081.216363370371
MAIN,2025-03-01,6,20:00-24:00,8371.545436666667,2278.518853333333,6971.44552937038,9081.216363370371
MAIN,2025-03-02,1,0:00-4:00,1804.8303629218108,2.9272166666665957,9081.216363370371,8599.539379814816
MAIN,2025-03-02,2,4:00-8:00,1691.4241177366266,2105.5308466666665,9081.216363370371,8599.539379814816
MAIN,2025-03-02,3,8:00-12:00,5782.481669999999,4084.215200000001,9081.216363370371,8599.539379814816
MAIN,2025-03-02,4,12:00-16:00,2057.3514360082345,2590.532013333333,9081.216363370371,8599.539379814816
MAIN,2025-03-02,5,16:00-20:00,256.41952333333404,5632.059876666664,9081.216363370371,8599.539379814816
MAIN,2025-03-02,6,20:00-24:00,8282.305803333335,2116.842591666666,9081.216363370371,8599.539379814816
MAIN,2025-03-03,1,0:00-4:00,2156.290444650205,85.20730333333324,8599.539379814816,8750.204672296295
MAIN,2025-03-03,2,4:00-8:00,1590.1520183127568,2896.8244833333342,8599.539379814816,8750.204672296295
MAIN,2025-03-03,3,8:00-12:00,5964.945443333334,5257.73935,8599.539379814816,8750.204672296295
MAIN,2025-03-03,4,12:00-16:00,4504.431696378597,1315.6983500000006,8599.539379814816,8750.204672296295
MAIN,2025-03-03,5,16:00-20:00,220.4469506172872,5712.833306666668,8599.539379814816,8750.204672296295
MAIN,2025-03-03,6,20:00-24:00,8251.306973333334,2973.0330000000004,8599.539379814816,8750.204672296295
MAIN,2025-03-04,1,0:00-4:00,2160.688474115228,124.71485999999982,8750.204672296295,8820.938669444446
