decision_date,selected_branch,score_n_days,loss_B,loss_M,screen_cost_B,screen_cost_M,mae50_B,mae50_M,month
2025-10-15,LIGHTGBM,28,12.818733590467543,11.082250492274788,1442479.2982939552,1424985.1333577912,291.4946635540675,252.81050811835092,2025-10
2025-10-16,LIGHTGBM,28,12.762789984486329,10.977185901679317,1441798.2119676175,1422794.8453469304,288.90849791666665,247.0834764699708,2025-10
2025-10-17,LIGHTGBM,28,12.708454012995718,11.022865820629429,1442904.9172298652,1426013.143163005,287.77551772073406,248.25864272223853,2025-10
2025-10-18,LIGHTGBM,28,12.630066685684609,10.966281240291003,1440990.0827324558,1423882.3548845858,285.3623148561508,248.24259604736295,2025-10
2025-10-19,LIGHTGBM,28,12.460851469471544,10.804615113972035,1438778.9327585176,1421529.6109273836,281.1396863591269,245.39833944518787,2025-10
2025-10-20,LIGHTGBM,28,12.201268442010717,10.63852029128469,1437773.2159248325,1422948.177071634,275.9056109250992,246.60226253829444,2025-10
2025-10-21,LIGHTGBM,28,12.113507265735402,10.687681709100602,1439165.1201942656,1425388.1716758702,274.3675387648809,246.5891717271764,2025-10
2025-10-22,LIGHTGBM,28,12.068022849130555,10.593390320372446,1439863.425028241,1425753.7632795507,272.77951765873013,245.50012643707467,2025-10
2025-10-23,LIGHTGBM,28,11.97784080136283,10.528990397110013,1440828.0363576435,1427566.670279899,271.31693015873014,245.1821291945518,2025-10
2025-10-24,LIGHTGBM,28,11.874584431349156,10.454787358680449,1440167.717465251,1427372.081365948,271.1259483010912,244.5403956149624,2025-10
2025-10-25,LIGHTGBM,28,11.751582825105144,10.289801611009343,1440592.8482062337,1426818.5810524616,267.2410344618055,241.4805947928731,2025-10
2025-10-26,LIGHTGBM,28,11.481341631266451,10.062609621479314,1437020.0395877222,1423456.462932217,260.50788855406745,235.59810769307572,2025-10
2025-10-27,LIGHTGBM,28,11.30538310414481,9.857710170882925,1435523.2170004626,1420946.5908950528,256.76476914682536,231.56007109346191,2025-10
2025-10-28,LIGHTGBM,28,11.210008439474588,9.885304518985022,1434429.2843817894,1421829.6097316346,258.3964828621032,233.7169366318538,2025-10
2025-10-29,LIGHTGBM,28,11.145916335374688,9.841103071271704,1431832.292310435,1419847.9169757927,256.17476944444445,231.01078676749088,2025-10
2025-10-30,LIGHTGBM,28,10.586883571475845,9.413471903861629,1433837.4348140615,1423249.7937748677,241.37011298363092,218.17025595390152,2025-10
2025-10-31,LIGHTGBM,28,10.472988861593985,9.22578270135954,1439582.575513021,1428476.630688647,238.58427950148808,211.5938273876414,2025-10
2025-11-01,LIGHTGBM,28,10.336797754782456,9.212493645815169,1441351.6593417746,1433084.3168362929,238.4198560143849,211.53500018542172,2025-11
2025-11-02,LIGHTGBM,28,10.175073420910268,9.100305763413951,1441261.5723146931,1432938.499393381,234.89803210565475,207.9611849318586,2025-11
2025-11-03,LIGHTGBM,28,9.873933468478192,8.825062447856947,1445371.484264834,1437185.0083843214,229.80538661954364,204.50507663442136,2025-11
2025-11-04,LIGHTGBM,28,9.815810856294412,8.806390298564764,1450462.9707981127,1442122.57259337,228.6445417782738,204.75711031706416,2025-11
2025-11-05,LIGHTGBM,28,9.700651660624422,8.694377962931245,1453964.6786053367,1445551.8829062378,226.8304499875992,202.72235572363425,2025-11
2025-11-06,LIGHTGBM,28,9.594145258090442,8.638471555412593,1460265.3777811918,1452332.880522234,225.91331604662696,202.81142314574407,2025-11
2025-11-07,LIGHTGBM,28,9.687398647297684,8.833653812796792,1471332.0117925643,1464816.7497895812,226.01394751984125,205.23027656783643,2025-11
2025-11-08,LIGHTGBM,28,9.711720633378487,8.774135722591437,1474397.5822855616,1467527.4094679593,225.8821873883928,203.79301862416813,2025-11
2025-11-09,LIGHTGBM,28,9.680041783745583,8.772765624680979,1476759.1543563348,1469855.3596344064,223.3630706845238,202.6368738867084,2025-11
2025-11-10,LIGHTGBM,28,9.61235632242616,8.773718782168562,1484560.471449878,1478433.8602225515,221.7008314360119,202.27625566068676,2025-11
2025-11-11,LIGHTGBM,28,9.575287127915674,8.804025289192307,1494290.4661183336,1488684.3023354013,220.871628968254,204.10955359320732,2025-11
2025-11-12,LIGHTGBM,28,9.556137070491832,8.733659822869235,1500835.2721980098,1494031.3893495533,218.15749511408728,201.42431462285552,2025-11
2025-11-13,LIGHTGBM,28,9.497724898765046,8.642242844976163,1507683.9918615478,1500773.498527842,216.69154573412695,200.16738346368885,2025-11
2025-11-14,LIGHTGBM,28,9.518624178593074,8.622169265377062,1512945.9890619582,1504584.799055925,217.77388776041664,199.8874861468984,2025-11
2025-11-15,LIGHTGBM,28,9.406456024444823,8.536265493800958,1515126.5705904327,1507073.1805127435,215.41557292906745,197.934578394592,2025-11
2025-11-16,LIGHTGBM,28,9.36256487552123,8.518970431720527,1517581.6919008712,1509593.9181545407,215.5593983258929,197.77564474828725,2025-11
2025-11-17,LIGHTGBM,28,9.381238184029598,8.496802649451546,1524629.349909123,1515203.8080033406,214.64052368551583,193.0462542472055,2025-11
2025-11-18,LIGHTGBM,28,9.39057380585291,8.411399026955259,1529869.9279912703,1519119.0074947644,214.16257694692464,190.97565073549373,2025-11
2025-11-19,LIGHTGBM,28,9.410988397712634,8.440780628115593,1535780.3647606077,1525210.187075583,214.94202845982144,191.1958300424793,2025-11
2025-11-20,LIGHTGBM,28,9.44488267467348,8.487408851966334,1543552.7212756474,1532685.2747854283,214.25936607142856,190.42255585655425,2025-11
2025-11-21,LIGHTGBM,28,9.403009591765972,8.47326232698772,1550415.7427328094,1539790.3118179997,213.27565401785716,190.3142460194034,2025-11
2025-11-22,LIGHTGBM,28,9.332652566954875,8.406101423339376,1551502.4416016866,1541621.762083216,211.58080478670635,188.7703963060836,2025-11
2025-11-23,LIGHTGBM,28,9.264387396716618,8.388841371878659,1553353.9358804352,1544073.6462068765,210.40804599454364,188.47147001839767,2025-11
2025-11-24,LIGHTGBM,28,9.282156486760648,8.411096655451008,1560965.187385596,1551818.5232409872,210.59774227430557,189.4562537996033,2025-11
2025-11-25,LIGHTGBM,28,9.370322364802744,8.438946720797802,1569151.1782669742,1558982.4070310125,211.99508978174603,189.9428935113524,2025-11
2025-11-26,LIGHTGBM,28,9.34123642630964,8.442814823634237,1576271.3068436233,1566115.0677711684,211.03544300595237,191.0885492235232,2025-11
2025-11-27,LIGHTGBM,28,9.220116431932524,8.275538967203246,1580844.5366051272,1570492.8717332855,209.38009601934525,187.62993419298496,2025-11
2025-11-28,LIGHTGBM,28,9.082533971988973,8.182599899928919,1586304.3305892404,1576044.257593501,204.78888783482145,186.1082522816361,2025-11
2025-11-29,LIGHTGBM,28,9.066202146180093,8.11853615728164,1589714.8925886534,1576323.661795386,203.62044742063492,184.0342006645528,2025-11
2025-11-30,LIGHTGBM,28,9.191816839151423,8.325016620967048,1592518.7803474576,1579479.2357288804,205.6192626116072,188.13725405268585,2025-11
2025-12-01,LIGHTGBM,28,9.17598120393504,8.315941728649369,1600119.927255573,1586981.815451698,205.3849295014881,187.27826626636764,2025-12
2025-12-02,LIGHTGBM,28,9.479707835915196,8.755823886127056,1619373.8640427303,1609870.8144257923,209.57947920386903,192.467205487287,2025-12
2025-12-03,LIGHTGBM,28,10.059083079448415,9.463061556978616,1646814.10433906,1639473.3545972437,217.46290484871028,201.451377255423,2025-12
2025-12-04,LIGHTGBM,28,10.32598300022095,9.726196336077678,1665055.880324677,1657247.0411429517,221.96153108878968,206.2831628681444,2025-12
2025-12-05,LIGHTGBM,28,10.61872160139701,9.94133826213024,1682762.0584235133,1673552.2862182455,225.84169641617063,208.8232110423279,2025-12
2025-12-06,LIGHTGBM,28,10.798195975632028,10.290196367740716,1692359.4230898474,1684320.4005863897,229.6164453869048,214.3191616201213,2025-12
2025-12-07,LIGHTGBM,28,11.085693898247817,10.79185581275108,1704430.435702526,1697458.1840976165,234.88515546875,222.3378354042994,2025-12
2025-12-08,BASELINE,28,11.146135860707608,10.937171047700383,1717520.666226896,1712257.1545806683,236.739088343254,225.5197188461437,2025-12
2025-12-09,LIGHTGBM,28,11.227419887873925,10.917950914807625,1729722.2027612156,1722578.6288998458,237.061815625,223.46682281788247,2025-12
2025-12-10,LIGHTGBM,28,11.299677517474487,11.000677306251855,1743399.919613634,1736101.6787763366,238.196735875496,225.151916117824,2025-12
2025-12-11,LIGHTGBM,28,11.363797454221745,11.090690752339825,1756628.8629903109,1749870.5302506615,239.7423368799603,226.3138585343981,2025-12
2025-12-12,LIGHTGBM,28,11.434994331274371,11.142357738056948,1769333.0884516053,1761765.221562097,240.8862937127976,225.6059471978174,2025-12
2025-12-13,LIGHTGBM,28,11.5164030023999,11.235844592980524,1776496.6462065848,1768090.2229240795,243.2088021825397,227.4841379612575,2025-12
2025-12-14,LIGHTGBM,28,11.579426279063243,11.262828790781766,1783329.6231139044,1774681.85675117,243.66281161954367,228.25725366563603,2025-12
2025-12-15,LIGHTGBM,28,11.661066061722536,11.253270994870933,1795747.1825493823,1785151.8564242283,243.90993778521823,227.6213026845156,2025-12
2025-12-16,LIGHTGBM,28,11.596107302365608,11.243192978252017,1806611.2973522367,1797009.6485564294,241.67528638392852,227.0044606921384,2025-12
2025-12-17,LIGHTGBM,28,11.573870095594282,11.157242627415842,1817993.0396830775,1807296.2196489228,238.53767898065476,224.28028718215552,2025-12
2025-12-18,LIGHTGBM,28,11.593578526781169,11.07506968513494,1827602.4177574844,1814840.972116264,237.9874128968254,223.0771422823472,2025-12
2025-12-19,LIGHTGBM,28,11.594975074730524,11.073774681773315,1837243.9167121104,1824400.844252002,237.4315586309524,223.0867201208712,2025-12
2025-12-20,LIGHTGBM,28,11.66783504339208,11.134947924015869,1844232.8268595943,1830725.5603278729,240.0342578249008,225.8893877730024,2025-12
2025-12-21,LIGHTGBM,28,11.719718409403525,11.115847882924674,1851036.8698474013,1836552.1564906144,240.3629109747024,225.1958982328831,2025-12
2025-12-22,LIGHTGBM,28,11.778639308282756,11.182243327996373,1862296.1516313197,1847842.3078259763,241.7887974330357,225.9891089411639,2025-12
2025-12-23,LIGHTGBM,28,11.660649917498562,11.047533039287076,1871333.8560380652,1856164.4098757813,238.21712836061508,223.94553505525013,2025-12
2025-12-24,LIGHTGBM,28,11.70536772812014,11.060695935576854,1880573.1043089284,1864772.1389266397,237.53871526537696,222.00674282911984,2025-12
2025-12-25,LIGHTGBM,28,11.776212396737188,11.094806488932775,1890446.757875488,1874034.9908084003,237.94396505456348,222.38219408897817,2025-12
2025-12-26,LIGHTGBM,28,11.8223266388358,11.130349933175822,1900258.0403292845,1883542.6454322976,239.87726047867065,223.94517437686488,2025-12
2025-12-27,LIGHTGBM,28,11.810383964749736,11.05998258221322,1904804.2706991008,1887876.9616371,238.86361496775797,223.54485436553512,2025-12
2025-12-28,LIGHTGBM,28,11.68129555928198,10.87596802699289,1910045.98107744,1892632.10999035,236.91968896329365,220.03301584520293,2025-12
2025-12-29,LIGHTGBM,28,11.850851239806516,10.976031212794163,1918200.5942493223,1899385.754468612,240.10169797867064,221.61658314076013,2025-12
2025-12-30,LIGHTGBM,28,11.616919906770402,10.525729951190494,1914016.5176341515,1890839.6600935184,235.6341272073413,215.3063549567507,2025-12
2025-12-31,LIGHTGBM,28,11.087219329675,9.885287258102428,1901382.6418563663,1876009.8501833305,228.4750911210317,206.7648372642358,2025-12
